# Map Configuration File
# Format: size|difficulty|iteration|seed|mapId|optimalCost
# Generated by BenchmarkRunner

20|EASY|1|-5843495416241995736|aee7bbe1|37.0
20|EASY|2|5694868678511409995|4f083ce3|37.0
20|EASY|3|5111195811822994797|46ee9d82|37.0
20|EASY|4|-6169532649852302182|aa616abe|37.0
20|EASY|5|-1782466964123969572|e74367bd|37.0
20|HARD|1|8051837266862454915|6fbddf55|126.0
20|HARD|2|-4613416830416070574|bff9d9d5|83.5
20|HARD|3|7130900098642117381|62f60bdb|101.0
20|HARD|4|-7482923245497525943|982750f4|106.5
20|HARD|5|-3210362905434573697|d3727ff2|109.5
20|MEDIUM|1|6802844026563419272|5e688e99|46.0
20|MEDIUM|2|5086654115216342560|46976cf7|72.0
20|MEDIUM|3|8552898714322622292|76b20010|40.0
20|MEDIUM|4|-4004755535478349341|c86c400e|74.0
20|MEDIUM|5|-1488139573943419793|eb5910f1|38.5
30|EASY|1|3176860285874836986|2c167999|57.0
30|EASY|2|-7610621359446545191|9661a432|57.0
30|EASY|3|-4588066762141701118|c053e996|57.0
30|EASY|4|-7912908803613548926|922fb35e|57.0
30|EASY|5|-7747173299880867347|947c82ee|57.0
30|HARD|1|-3311341186503823761|d20bc0bc|152.0
30|HARD|2|6809089882916169883|5e7ebf2c|126.0
30|HARD|3|6645529480803663035|5c39a9da|162.5
30|HARD|4|8491153766255516575|75d6a35c|173.0
30|HARD|5|3307011078434949678|2de4dd0d|244.0
30|MEDIUM|1|-4565385657661118002|c0a47dee|79.0
30|MEDIUM|2|579564241196435126|80b069b5|65.5
30|MEDIUM|3|6602457318652576433|5ba0a3f3|88.0
30|MEDIUM|4|-3361053196040192472|d15b23ed|73.5
30|MEDIUM|5|7704975138223047541|6aed9210|63.0
40|EASY|1|-2477641376863858799|dd9da64b|77.0
40|EASY|2|8976013293400652448|7c913488|77.0
40|EASY|3|7765557456844232617|6bc4cd5d|77.0
40|EASY|4|-6772356965118744613|a203c138|77.0
40|EASY|5|-5536630875295603153|b329ef8d|77.0
40|HARD|1|3618275030082862648|3236b1f8|210.0
40|HARD|2|9174061941632264871|7f50d0ba|277.0
40|HARD|3|-6363141803348005509|a7b1943e|233.0
40|HARD|4|-6525868206941090114|a56f7570|193.0
40|HARD|5|-1954565432038993495|e4dffd18|259.5
40|MEDIUM|1|5816783378753256221|50b95daa|82.0
40|MEDIUM|2|-7902210446970826476|9255b577|78.5
40|MEDIUM|3|6843968935032545040|5efaa97c|83.5
40|MEDIUM|4|-2364603267878439993|df2f3ddb|87.0
40|MEDIUM|5|-3583631517115538627|ce44621f|76.0
50|EASY|1|-7400150545808261020|994d6249|97.0
50|EASY|2|-442085989067090995|f9dd6522|97.0
50|EASY|3|1421969441671016819|13bbd9ac|97.0
50|EASY|4|-4148290888502147866|c66e4f6a|97.0
50|EASY|5|5143363558960181380|4760e5e7|97.0
50|HARD|1|498612969661829775|6eb6ddaa|336.5
50|HARD|2|5205639603036122361|483e25a3|223.0
50|HARD|3|-599605523670828760|f7adc5f3|290.0
50|HARD|4|-7683776282623137626|955dbe2e|381.5
50|HARD|5|-6890317026842467930|a060ad2b|319.0
50|MEDIUM|1|6896059675492935315|5fb3b9bc|109.5
50|MEDIUM|2|7956256943701054793|6e6a4d89|98.5
50|MEDIUM|3|6130300700125639356|55133401|117.5
50|MEDIUM|4|5813444792121706410|50ad813c|121.5
50|MEDIUM|5|8167036740886373615|715724a5|106.0
60|EASY|1|7057373483659514595|61f0d3ca|117.0
60|EASY|2|-1777803183092903066|e753f96c|117.0
60|EASY|3|-3067700847466603530|d56d5655|117.0
60|EASY|4|4799725489179701820|429c0ce7|117.0
60|EASY|5|-696618738899799660|f6551cf2|117.0
60|HARD|1|-2668109555005096873|daf8f87e|414.5
60|HARD|2|-2530447494476677762|dce20b69|283.5
60|HARD|3|-3783893637922067757|cb7ce8c8|293.0
60|HARD|4|-2761782759714541191|d9ac2d36|362.5
60|HARD|5|2817034374447275247|27181dd6|366.0
60|MEDIUM|1|7333247660335439485|65c4ede4|118.5
60|MEDIUM|2|-7866895889735322003|92d32bde|115.0
60|MEDIUM|3|4762303443152762642|421719bf|126.0
60|MEDIUM|4|-3288214137512041658|d25deaa9|120.0
60|MEDIUM|5|-7118474111917486870|9d361982|124.5
